"No","품목일련번호 [PTNT_PRDLST_CRTR_CD] ","제품명 [PRDLST_NM] ","주성분명 [DRUG_CPNT_KOR_NM] ","주성분명(영문) [DRUG_CPNT_ENG_NM] ","특허권등재자 [BSSH_NM] ","등재특허권자 [PTHD_NM] ","등재일자 [PTNT_REG_DT] ","특허번호 [PTNT_NO] ","rownum"
"11","199401576","트라스트패취(피록시캄)(수출명:미포톱)","피록시캄","Piroxicam","에스케이케미칼(주)","에스케이케미칼주식회사","2002-03-28 00:00:00","10-0332210-0000","11"
"12","199401699","광동원탕","원탕연조엑스","Wontang Soft Extract","광동제약(주)","최수부","1998-06-17 00:00:00","10-0150823-0000","12"
"13","199403111","레스콜캡슐40밀리그램(플루바스타틴나트륨)","플루바스타틴나트륨","Fluvastatin Sodium","한국노바티스(주)","노바르티스 아게","2000-01-27 00:00:00","10-0253824-0000","13"
"14","199403265","미니린나잘스프레이(데스모프레신아세트산염)","데스모프레신아세트산염","Desmopressin Acetate","한국페링제약(주)","훼링 비.브이","1999-02-11 00:00:00","10-0195323-0000","14"
"15","199500183","오논캡슐(프란루카스트수화물)","프란루카스트수화물","Pranlukast Hydrate","동아에스티(주)","오노 야꾸힝 고교 가부시키가이샤","2003-06-18 00:00:00","10-0389606-0000","15"
"16","199500901","보령메이액트정100밀리그램(세프디토렌피복실)","세프디토렌피복실","Cefditoren Pivoxil","보령제약(주)","메이지 세이카 파루마 가부시키가이샤","2001-09-26 00:00:00","10-0311576-0000","16"
"17","199501680","펜넬캡슐","마늘유","Allium Sativum Oil","(주)파마킹","(주)파마킹","1998-02-10 00:00:00","10-0137602-0000","17"
"18","199501680","펜넬캡슐","비페닐디메틸디카르복실레이트","Biphenyl Dimethyl Dicarboxylate","(주)파마킹","(주)파마킹","1998-02-10 00:00:00","10-0137602-0000","18"
"19","199504100","브레디닌정25밀리그램(미조리빈)","미조리빈","Mizoribine","(주)종근당","아사히 가셍이 파마","2004-08-18 00:00:00","10-0446079-0000","19"
"20","199504101","브레디닌정50밀리그램(미조리빈)","미조리빈","Mizoribine","(주)종근당","아사히 가세이 파마","2004-08-18 00:00:00","10-0446079-0000","20"
"21","199504156","다이보넥스크림(칼시포트리올)","칼시포트리올","Calcipotriol","레오파마(유)","레오 파마슈티칼 프러덕츠 리미티드 에이/에스 (뢰벤스케미스케 파브릭 프로둑티온스악티젤스카브)","2001-09-11 00:00:00","10-0309751-0000","21"
"22","199504249","미니린정0.1밀리그램(데스모프레신아세트산염)","데스모프레신아세트산염","Desmopressin Acetate","한국페링제약(주)","훼링 비.브이.","2007-10-05 00:00:00","10-0766455-0000","22"
"23","199504250","미니린정0.2밀리그램(데스모프레신아세트산염)","데스모프레신아세트산염","Desmopressin Acetate","한국페링제약(주)","훼링 비.브이.","2007-10-05 00:00:00","10-0766455-0000","23"
"24","199600151","사이폴-엔연질캡슐25밀리그램(사이클로스포린)(수출명:데나스포연질캡슐25밀리그램)","사이클로스포린","Cyclosporine","(주)종근당","주식회사종근당","2000-03-06 00:00:00","10-0257841-0000","24"
"25","199600158","사이폴-엔연질캡슐100밀리그램(사이클로스포린)(수출명:데나스포연질캡슐100밀리그램)","사이클로스포린","Cyclosporine","(주)종근당","주식회사종근당","2000-03-06 00:00:00","10-0257841-0000","25"
"26","199602289","루마겔(케토프로펜)","케토프로펜","Ketoprofen","한미약품(주)","한미약품주식회사","1999-05-31 00:00:00","10-0216623-0000","26"
"27","199604675","다이보넥스액(칼시포트리올)","칼시포트리올","Calcipotriol","레오파마(유)","레오 파마슈티칼 프러덕츠 리미티드 에이/에스 (뢰벤스케미스케 파브릭 프로둑티온스악티젤스카브)","2001-09-11 00:00:00","10-0309751-0000","27"
"28","199604694","레스콜캡슐20밀리그램(플루바스타틴나트륨)","플루바스타틴나트륨","Fluvastatin Sodium","한국노바티스(주)","노바르티스 아게","2000-01-27 00:00:00","10-0253824-0000","28"
"29","199700704","이지에프외용액0.005%(재조합인간상피세포성장인자)","재조합인간상피세포성장인자 (숙주:Escherichia coli JM101, 벡터:pTE105)","Recombinant Human Epidermal Growth Factor (Host: Escherichia Coli JM101, Vector: pTE105)","(주)대웅제약","(주)대웅제약","1999-09-01 00:00:00","10-0231805-0000","29"
"30","199700925","밀리칸주(수출용)","질산홀뮴-166","holmium nitrate pentahydrate","동화약품(주)","1.동화약품주식회사  /  2.한국원자력연구원","1999-01-22 00:00:00","10-0190957-0000","30"
"31","199700925","밀리칸주(수출용)","질산홀뮴-166","holmium nitrate pentahydrate","동화약품(주)","1.동화약품주식회사  /  2.한국원자력연구원","2011-10-31 00:00:00","10-1080056-0000","31"
"32","199700925","밀리칸주(수출용)","질산홀뮴-166","holmium nitrate pentahydrate","동화약품(주)","한국원자력연구소","1999-01-22 00:00:00","10-0190957-0000","32"
"33","199700925","밀리칸주(수출용)","질산홀뮴-166","holmium nitrate pentahydrate","동화약품(주)","한국원자력연구소","2011-10-31 00:00:00","10-1080056-0000","33"
"34","199700925","밀리칸주(수출용)","키토산","Chitosan","동화약품(주)","1.동화약품주식회사  /  2.한국원자력연구원","1999-01-22 00:00:00","10-0190957-0000","34"
"35","199700925","밀리칸주(수출용)","키토산","Chitosan","동화약품(주)","1.동화약품주식회사  /  2.한국원자력연구원","2011-10-31 00:00:00","10-1080056-0000","35"
"36","199700925","밀리칸주(수출용)","키토산","Chitosan","동화약품(주)","한국원자력연구소","1999-01-22 00:00:00","10-0190957-0000","36"
"37","199700925","밀리칸주(수출용)","키토산","Chitosan","동화약품(주)","한국원자력연구소","2011-10-31 00:00:00","10-1080056-0000","37"
"38","199702182","조인스정200밀리그램(위령선·괄루근·하고초30%에탄올건조엑스(40→1))(수출명:카라스론)","위령선·괄루근·하고초30%에탄올건조엑스(40→1)","Clematidis Radix·Trichosanthis Radix·Prunellae Spica 30% Ethanol Dry Extract (40→1)","에스케이케미칼(주)","에스케이케미칼주식회사","1998-12-02 00:00:00","10-0180567-0000","38"
"39","199702182","조인스정200밀리그램(위령선·괄루근·하고초30%에탄올건조엑스(40→1))(수출명:카라스론)","위령선·괄루근·하고초30%에탄올건조엑스(40→1)","Clematidis Radix·Trichosanthis Radix·Prunellae Spica 30% Ethanol Dry Extract (40→1)","에스케이케미칼(주)","에스케이케미칼주식회사","2005-04-07 00:00:00","10-0483707-0000","39"
"40","199702182","조인스정200밀리그램(위령선·괄루근·하고초30%에탄올건조엑스(40→1))(수출명:카라스론)","위령선·괄루근·하고초30%에탄올건조엑스(40→1)","Clematidis Radix·Trichosanthis Radix·Prunellae Spica 30% Ethanol Dry Extract (40→1)","에스케이케미칼(주)","에스케이케미칼주식회사","2016-04-04 00:00:00","10-1609535-0000","40"
"41","199703027","에스포젠주10000IU/mL","인에리스로포이에틴(유전자재조합)(벡터;pMI-EP060-BiP-DHFR 숙주;CH0 dhfr-ATCC CRL9096)","Human Erythropoietin (rDNA, Vector; pMI-EP060-BiP-DHFR, Host; CH0 dhfr-ATCC CRL9096)","(주)엘지생명과학","(주)엘지생명과학","2006-08-01 00:00:00","10-0610003-0000","41"
"42","199703029","에스포젠주4000IU/mL","인에리스로포이에틴(유전자재조합)(벡터;pMI-EP060-BiP-DHFR 숙주;CH0 dhfr-ATCC CRL9096)","Human Erythropoietin (rDNA, Vector; pMI-EP060-BiP-DHFR, Host; CH0 dhfr-ATCC CRL9096)","(주)엘지생명과학","(주)엘지생명과학","2006-08-01 00:00:00","10-0610003-0000","42"
"43","199704339","노비르캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","1999-01-06 00:00:00","10-0187613-0000","43"
"44","199704339","노비르캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2002-04-04 00:00:00","10-0333016-0000","44"
"45","199704340","노비르액(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","1999-01-06 00:00:00","10-0187613-0000","45"
"46","199704340","노비르액(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2002-04-04 00:00:00","10-0333016-0000","46"
"47","199704340","노비르액(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2002-10-31 00:00:00","10-0360963-0000","47"
"48","199800085","딜라트렌정6.25mg(카르베딜롤)","카르베딜롤","Carvedilol","(주)종근당","로셰 쎄라퓨틱스 인코포레이티드/에프. 호프만-라 로슈 아게","2001-05-04 00:00:00","10-0295940-0000","48"
"49","199800086","딜라트렌정12.5mg(카르베딜롤)","카르베딜롤","Carvedilol","(주)종근당","로셰 쎄라퓨틱스 인코포레이티드/에프. 호프만-라 로슈 아게","2001-05-04 00:00:00","10-0295940-0000","49"
"50","199800711","베아세프정250밀리그람(세푸록심악세틸)(수출명:ZenaTab.)","세푸록심악세틸","Cefuroxime Axetil","대웅바이오(주)","(주)대웅제약","2001-06-08 00:00:00","10-0299356-0000","50"
"51","199801016","알레그라정120밀리그람(펙소페나딘염산염)","펙소페나딘염산염","Fexofenadine Hydrochloride","(주)한독","아벤티서브 투, 인코포레이티드","2003-10-30 00:00:00","10-0405116-0000","51"
"52","199801215","보령메이액트세립(세프디토렌피복실)","세프디토렌피복실","Cefditoren Pivoxil","보령제약(주)","메이지 세이카 파루마 가부시키가이샤","2001-09-26 00:00:00","10-0311576-0000","52"
"53","199801312","지나시드건조시럽(아시클로버)","아시클로버","Acyclovir","진양제약(주)","진양제약주식회사, 노재일, 황귀서","2001-06-19 00:00:00","10-0300611-0000","53"
"54","199801313","지나시드건조시럽800밀리그람/5밀리리터(아시클로버)","아시클로버","Acyclovir","진양제약(주)","진양제약주식회사, 노재일, 황귀서","2001-06-19 00:00:00","10-0300611-0000","54"
"55","199802242","에글란딘주1밀리리터(알프로스타딜)","알프로스타딜","Alprostadil","미쓰비시다나베파마코리아주식회사","다이쇼세이야꾸가부시끼가이샤/미쓰비시타나베파마코퍼레이션","1998-08-17 00:00:00","10-0160127-0000","55"
"56","199802243","에글란딘주(알프로스타딜)","알프로스타딜","Alprostadil","미쓰비시다나베파마코리아주식회사","다이쇼세이야꾸가부시끼가이샤/ 미쓰비시타나베파마코퍼레이션","1998-08-17 00:00:00","10-0160127-0000","56"
"57","199806403","휴마로그주100단위/밀리리터(인슐린라이스프로)","인슐린라이스프로","INSULIN LISPRO","한국릴리(유)","일라이릴리앤드캄파니","1998-10-31 00:00:00","10-0169727-0000","57"
"58","199806403","휴마로그주100단위/밀리리터(인슐린라이스프로)","인슐린라이스프로","INSULIN LISPRO","한국릴리(유)","일라이릴리앤드캄파니","2003-04-17 00:00:00","10-0382326-0000","58"
"59","199806503","레스큘라점안액(이소프로필우노프로스톤)","이소프로필우노프로스톤","Isopropyl Unoprostone","동아에스티(주)","노파르티스 아게","2006-02-21 00:00:00","10-0555818-0000","59"
"60","199806739","안드리올테스토캡스연질캡슐","테스토스테론운데카노에이트","Testosterone Undecanoate","한국엠에스디(유)","머크 샤프 앤 도메 비.브이.","2007-01-02 00:00:00","10-0666016-0000","60"
"61","199806758","1.도타렘주 2.도타렘주프리필드시린지","도타","DOTA","게르베코리아(주)","게르브","2011-08-31 00:00:00","10-1063060-0000","61"
"62","199806758","1.도타렘주 2.도타렘주프리필드시린지","메글루민","Meglumine","게르베코리아(주)","게르브","2011-08-31 00:00:00","10-1063060-0000","62"
"63","199806758","1.도타렘주 2.도타렘주프리필드시린지","산화가돌리늄","Gadolinium Oxide","게르베코리아(주)","게르브","2011-08-31 00:00:00","10-1063060-0000","63"
"64","199900025","스텐드로주","알프로스타딜","Alprostadil","신풍제약(주)","신풍제약주식회사","1999-02-11 00:00:00","10-0195348-0000","64"
"65","199900025","스텐드로주","염산파파베린","Papaverine Hydrochloride","신풍제약(주)","신풍제약주식회사","1999-02-11 00:00:00","10-0195348-0000","65"
"66","199900025","스텐드로주","펜토라민메실레이트","Phentolamine Mesylate","신풍제약(주)","신풍제약주식회사","1999-02-11 00:00:00","10-0195348-0000","66"
"67","199900523","안플라그정50밀리그람(염산사포그릴레이트)","염산사포그릴레이트","Sarpogrelate Hydrochloride","(주)유한양행","미쓰비시 타나베 파마 코퍼레이션","2007-06-12 00:00:00","10-0729701-0000","67"
"68","199900524","안플라그정100밀리그램(사르포그렐레이트염산염)","사르포그렐레이트염산염","Sarpogrelate Hydrochloride","(주)유한양행","미쓰비시 타나베 파마 코퍼레이션","2007-06-12 00:00:00","10-0729701-0000","68"
"69","199900544","트리돌서방정(트라마돌염산염)","트라마돌염산염","Tramadol Hydrochloride","(주)유한양행","그뤼넨탈 게엠베하","2002-02-07 00:00:00","10-0325494-0000","69"
"70","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","감초","Licorice","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","70"
"71","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","건강","Ginger","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","71"
"72","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","길경","Platycodon Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","72"
"73","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","당귀","Angelica Gigas Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","73"
"74","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","대두황권","Glycine Semen Germinatum","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","74"
"75","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","맥문동","Liriope Tuber","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","75"
"76","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","방풍","Saposhnikovia Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","76"
"77","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","백렴","Ampelopsis Radix","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","77"
"78","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","백출","Atractylodes Rhizome White","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","78"
"79","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","복령","Poria","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","79"
"80","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","산약","Dioscorea Rhizome","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","80"
"81","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","시호","Bupleurum Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","81"
"82","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","신곡","Massa Medicata Fermentata","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","82"
"83","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","아교","Asini Corii Colla","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","83"
"84","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","영묘향","Civet","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","84"
"85","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","영양각","Gazellae seu Saigae Cornu","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","85"
"86","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","용뇌","Bomeolum","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","86"
"87","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","우황","Cattle Gallstone","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","87"
"88","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","육계","Cinnamon Bark","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","88"
"89","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","인삼","Ginseng","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","89"
"90","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","작약","Peony Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","90"
"91","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","천궁","Cnidium Rhizome","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","91"
"92","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","포황","Typhae Pollen","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","92"
"93","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","행인","Apricot Kernel","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","93"
"94","199902843","광동우황청심원현탁액(사향대체물질영묘향함유)","황금","Scutellaria Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","94"
"95","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","감초","Licorice","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","95"
"96","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","건강","Ginger","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","96"
"97","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","길경","Platycodon Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","97"
"98","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","당귀","Angelica Gigas Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","98"
"99","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","대두황권","Glycine Semen Germinatum","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","99"
"100","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","맥문동","Liriope Tuber","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","100"
"101","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","방풍","Saposhnikovia Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","101"
"102","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","백렴","Ampelopsis Radix","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","102"
"103","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","백출","Atractylodes Rhizome White","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","103"
"104","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","복령","Poria","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","104"
"105","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","산약","Dioscorea Rhizome","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","105"
"106","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","시호","Bupleurum Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","106"
"107","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","신곡","Massa Medicata Fermentata","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","107"
"108","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","아교","Asini Corii Colla","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","108"
"109","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","영묘향","Civet","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","109"
"110","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","영양각","Gazellae seu Saigae Cornu","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","110"
"111","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","용뇌","Bomeolum","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","111"
"112","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","우황","Cattle Gallstone","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","112"
"113","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","육계","Cinnamon Bark","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","113"
"114","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","인삼","Ginseng","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","114"
"115","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","작약","Peony Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","115"
"116","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","천궁","Cnidium Rhizome","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","116"
"117","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","포황","Typhae Pollen","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","117"
"118","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","행인","Apricot Kernel","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","118"
"119","199902844","광동원방우황청심원현탁액(사향대체물질영묘향함유)","황금","Scutellaria Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","119"
"120","199903135","디아솔에스액(포도당)","포도당","Glucose","(주)태준제약","주식회사태준제약 & 한상왕","2002-12-11 00:00:00","10-0365998-0000","120"
"121","199903136","태준이지시티액4.6(황산바룸)","황산바륨","Barium Sulfate","(주)태준제약","(주)태준제약","1997-07-28 00:00:00","10-0119040-0000","121"
"122","199903138","태준이지시티액1.5(황산바륨)","황산바륨","Barium Sulfate","(주)태준제약","(주)태준제약","1997-07-28 00:00:00","10-0119040-0000","122"
"123","199906848","아벨록스정400밀리그람(목시플록사신염산염)","목시플록사신염산염","Moxifloxacin Hydrochloride","바이엘코리아(주)","바이엘 인텔렉쳐 프로퍼티 게엠베하","1998-07-21 00:00:00","10-0156238-0000","123"
"124","199906848","아벨록스정400밀리그람(목시플록사신염산염)","목시플록사신염산염","Moxifloxacin Hydrochloride","바이엘코리아(주)","바이엘 인텔렉쳐 프로퍼티 게엠베하","2000-01-14 00:00:00","10-0251886-0000","124"
"125","199906848","아벨록스정400밀리그람(목시플록사신염산염)","목시플록사신염산염","Moxifloxacin Hydrochloride","바이엘코리아(주)","바이엘 인텔렉쳐 프로퍼티 게엠베하","2005-10-24 00:00:00","10-0525146-0000","125"
"126","199906848","아벨록스정400밀리그람(목시플록사신염산염)","목시플록사신염산염","Moxifloxacin Hydrochloride","바이엘코리아(주)","바이엘 인텔렉쳐 프로퍼티 게엠베하","2006-11-21 00:00:00","10-0650489-0000","126"
"127","199906859","푸로작확산정20밀리그램(플루옥세틴염산염)","플루옥세틴염산염","Fluoxetine Hydrochloride","한국릴리(유)","릴리, 에스. 에이.","2002-10-25 00:00:00","10-0360130-0000","127"
"128","199906868","나라믹정2.5밀리그램(나라트립탄염산염)","나라트립탄염산염","Naratriptan Hydrochloride","(주)글락소스미스클라인","글락소그룹리미티드","1997-11-28 00:00:00","10-0131327-0000","128"
"129","199906869","벤토린에보할러(살부타몰황산염)","살부타몰황산염","Salbutamol Sulfate","(주)글락소스미스클라인","글락소 그룹 리미티드","2000-10-18 00:00:00","10-0278339-0000","129"
"130","199906877","조프란자이디스정8밀리그램(온단세트론)","온단세트론","Ondansetron","(주)글락소스미스클라인","글락소스미스클라인 인크","2000-05-01 00:00:00","10-0262377-0000","130"
"131","199906878","조프란자이디스정4밀리그램(온단세트론)","온단세트론","Ondansetron","(주)글락소스미스클라인","글락소스미스클라인 인크","2000-05-01 00:00:00","10-0262377-0000","131"
"132","199906907","판토록주사(판토프라졸나트륨세스키히드레이트)","판토프라졸나트륨세스키히드레이트","Pantoprazole Sodium Sesquihydrate","한국다케다제약(주)","다케다 게엠베하","2009-07-28 00:00:00","10-0910607-0000","132"
"133","199906916","콤탄정200밀리그램(엔타카폰)","엔타카폰","Entacapone","한국노바티스(주)","오리온 코포레이션","1996-08-09 00:00:00","10-0103268-0000","133"
"134","199906916","콤탄정200밀리그램(엔타카폰)","엔타카폰","Entacapone","한국노바티스(주)","오리온 코포레이션","2007-06-19 00:00:00","10-0732187-0000","134"
"135","199906953","클래리시드엑스엘서방정500밀리그램(클래리트로마이신)","클래리트로마이신","Clarithromycin","한국애보트(주)","아보트 러보러터리즈","2005-10-20 00:00:00","10-0524214-0000","135"
"136","199906953","클래리시드엑스엘서방정500밀리그램(클래리트로마이신)","클래리트로마이신","Clarithromycin","한국애보트(주)","아보트 러보러터리즈","2006-09-28 00:00:00","10-0632187-0000","136"
"137","199906994","타코실","트롬빈","Thrombin","대한적십자사","다케다 니코메드 에이에스","2008-05-09 00:00:00","10-0830294-0000","137"
"138","199906994","타코실","트롬빈","Thrombin","대한적십자사","다케다 니코메드 에이에스","2018-02-21 00:00:00","10-1833035-0000","138"
"139","199906994","타코실","트롬빈","Thrombin","대한적십자사","다케다 에이에스","2008-05-09 00:00:00","10-0830294-0000","139"
"140","199906994","타코실","트롬빈","Thrombin","대한적십자사","다케다 에이에스","2018-02-21 00:00:00","10-1833035-0000","140"
"141","199906994","타코실","피브리노겐","Fibrinogen","대한적십자사","다케다 니코메드 에이에스","2008-05-09 00:00:00","10-0830294-0000","141"
